DrugBank ID,Name,CAS Number,Drug Groups,InChIKey,InChI,SMILES,Formula,KEGG Compound ID,KEGG Drug ID,PubChem Compound ID,PubChem Substance ID,ChEBI ID,ChEMBL ID,HET ID,ChemSpider ID,BindingDB ID
DB00050,Cetrorelix,120287-85-6,approved; investigational,SBNPWPIBESPSIF-MHWMIDJBSA-N,"InChI=1S/C70H92ClN17O14/c1-39(2)31-52(61(94)82-51(15-9-28-77-69(73)74)68(101)88-30-10-16-58(88)67(100)79-40(3)59(72)92)83-60(93)50(14-8-29-78-70(75)102)81-63(96)54(34-43-20-25-49(91)26-21-43)86-66(99)57(38-89)87-65(98)56(36-45-11-7-27-76-37-45)85-64(97)55(33-42-18-23-48(71)24-19-42)84-62(95)53(80-41(4)90)35-44-17-22-46-12-5-6-13-47(46)32-44/h5-7,11-13,17-27,32,37,39-40,50-58,89,91H,8-10,14-16,28-31,33-36,38H2,1-4H3,(H2,72,92)(H,79,100)(H,80,90)(H,81,96)(H,82,94)(H,83,93)(H,84,95)(H,85,97)(H,86,99)(H,87,98)(H4,73,74,77)(H3,75,78,102)/t40-,50-,51+,52+,53-,54+,55-,56-,57+,58+/m1/s1",CC(C)C[C@H](NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,C70H92ClN17O14,,D07665,25074887,46505494,59224,CHEMBL1200490,,10482082,50369965
DB00152,Thiamine,70-16-6,approved; investigational; nutraceutical; vet_approved,JZRWCGZRTZMZEH-UHFFFAOYSA-N,"InChI=1S/C12H17N4OS/c1-8-11(3-4-17)18-7-16(8)6-10-5-14-9(2)15-12(10)13/h5,7,17H,3-4,6H2,1-2H3,(H2,13,14,15)/q+1",CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,C12H17N4OS,C00378,D08580,1130,46507321,18385,CHEMBL1547,VIB,1098,50373877
DB00162,Vitamin A,68-26-8,approved; nutraceutical; vet_approved,FPIPGXGPPPQFEQ-OVSJKPMPSA-N,"InChI=1S/C20H30O/c1-16(8-6-9-17(2)13-15-21)11-12-19-18(3)10-7-14-20(19,4)5/h6,8-9,11-13,21H,7,10,14-15H2,1-5H3/b9-6+,12-11+,16-8+,17-13+",C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,C20H30O,C17276,D00069,445354,46508191,17336,CHEMBL986,RTL,393012,50092056
DB00175,Pravastatin,81093-37-0,approved,TUZYXOIXSAXUGO-PZAWKZKUSA-N,"InChI=1S/C23H36O7/c1-4-13(2)23(29)30-20-11-17(25)9-15-6-5-14(3)19(22(15)20)8-7-16(24)10-18(26)12-21(27)28/h5-6,9,13-14,16-20,22,24-26H,4,7-8,10-12H2,1-3H3,(H,27,28)/t13-,14-,16+,17+,18+,19-,20-,22-/m0/s1",[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,C23H36O7,C01844,D08410,54687,46504851,63618,CHEMBL1144,,49398,20688
DB00176,Fluvoxamine,54739-18-3,approved; investigational,CJOFXWAVKWHTFT-XSFVSMFZSA-N,"InChI=1S/C15H21F3N2O2/c1-21-10-3-2-4-14(20-22-11-9-19)12-5-7-13(8-6-12)15(16,17)18/h5-8H,2-4,9-11,19H2,1H3/b20-14+",COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F,C15H21F3N2O2,C07571,,3404,46507588,5138,CHEMBL814,FVX,4481878,50028091
DB00177,Valsartan,137862-53-4,approved; investigational,ACWBQPMHZXGDFX-QFIPXVFZSA-N,"InChI=1S/C24H29N5O3/c1-4-5-10-21(30)29(22(16(2)3)24(31)32)15-17-11-13-18(14-12-17)19-8-6-7-9-20(19)23-25-27-28-26-23/h6-9,11-14,16,22H,4-5,10,15H2,1-3H3,(H,31,32)(H,25,26,27,28)/t22-/m0/s1",CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O,C24H29N5O3,,D00400,60846,46509000,9927,CHEMBL1069,,54833,50049186
DB00178,Ramipril,87333-19-5,approved,HDACQVRGBOVJII-JBDAPHQKSA-N,"InChI=1S/C23H32N2O5/c1-3-30-23(29)18(13-12-16-8-5-4-6-9-16)24-15(2)21(26)25-19-11-7-10-17(19)14-20(25)22(27)28/h4-6,8-9,15,17-20,24H,3,7,10-14H2,1-2H3,(H,27,28)/t15-,17-,18-,19-,20-/m0/s1",[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,C23H32N2O5,,D00421,5362129,46506390,8774,CHEMBL1168,,4514937,50084681
DB00180,Flunisolide,3385/3/3,approved; investigational,XSFJVAJPIHIPKU-XWCQMRHXSA-N,"InChI=1S/C24H31FO6/c1-21(2)30-19-9-14-13-8-16(25)15-7-12(27)5-6-22(15,3)20(13)17(28)10-23(14,4)24(19,31-21)18(29)11-26/h5-7,13-14,16-17,19-20,26,28H,8-11H2,1-4H3/t13-,14-,16-,17-,19+,20+,22-,23-,24+/m0/s1",[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,C24H31FO6,C07005,,82153,46507894,5106,CHEMBL1512,,74144,
DB00181,Baclofen,1134-47-0,approved,KPYSYYIEGFHWSV-UHFFFAOYSA-N,"InChI=1S/C10H12ClNO2/c11-9-3-1-7(2-4-9)8(6-12)5-10(13)14/h1-4,8H,5-6,12H2,(H,13,14)",NCC(CC(O)=O)C1=CC=C(Cl)C=C1,C10H12ClNO2,,D00241,2284,46508181,2972,CHEMBL701,,2197,24182
DB00182,Amphetamine,300-62-9,approved; illicit; investigational,KWTSXDURSIMDCE-UHFFFAOYSA-N,"InChI=1S/C9H13N/c1-8(10)7-9-5-3-2-4-6-9/h2-6,8H,7,10H2,1H3",CC(N)CC1=CC=CC=C1,C9H13N,C07514,D07445,3007,46506414,132233,CHEMBL405,,13852819,50005246
