DrugBank ID,Name,CAS Number,PubChem Compound ID,PubChem_CID,CAS_Rn0,CAS_Rn1,CAS_Rn2,CAS_Rn3,CAS_Rn4,CAS_Rn5,CAS_Rn6,CAS_Rn7,CAS_Rn8,CAS_Rn9,CAS_Rn10
DB00006,Bivalirudin,128270-60-0,16129704.0,16129704,128270-60-0,,,,,,,,,,
DB00007,Leuprolide,53714-56-0,,657181,53714-56-0,,,,,,,,,,
DB00014,Goserelin,65807-02-5,5311128.0,5311128,65807-02-5,145781-92-6,,,,,,,,,
DB00027,Gramicidin D,1405-97-6,45267103.0,45267103,1393-88-0,1405-97-6,,,,,,,,,
DB00035,Desmopressin,16679-58-6,,5311065,16679-58-6,,,,,,,,,,
DB00050,Cetrorelix,120287-85-6,25074887.0,25074887,120287-85-6,,,,,,,,,,
DB00067,Vasopressin,11000-17-2,,11979316,11000-17-2,,,,,,,,,,
DB00080,Daptomycin,103060-53-3,16134395.0,21585658,103060-53-3,,,,,,,,,,
DB00091,Cyclosporine,59865-13-3,5284373.0,5284373,59865-13-3,,,,,,,,,,
DB00104,Octreotide,83150-76-9,448601.0,448601,79517-01-4,83150-76-9,,,,,,,,,
DB00106,Abarelix,183552-38-7,16131215.0,16131215,183552-38-7,,,,,,,,,,
DB00114,Pyridoxal phosphate,54-47-7,1051.0,1051,54-47-7,,,,,,,,,,
DB00115,Cyanocobalamin,68-19-9,70678590.0,5311498,68-19-9,,,,,,,,,,
DB00118,Ademetionine,29908-03-0,34755.0,34755,29908-03-0,17176-17-9,78548-84-2,91279-78-6,485-80-3,52248-03-0,,,,,
DB00119,Pyruvic acid,127-17-3,1060.0,1060,127-17-3,,,,,,,,,,
DB00120,Phenylalanine,63-91-2,6140.0,6140,63-91-2,,,,,,,,,,
DB00121,Biotin,58-85-5,171548.0,171548,58-85-5,56846-45-8,,,,,,,,,
DB00122,Choline,62-49-7,305.0,305,62-49-7,5413-08-1,,,,,,,,,
DB00123,L-Lysine,56-87-1,5962.0,5962,56-87-1,12798-06-0,20166-34-1,26714-32-9,,,,,,,
DB00126,Ascorbic acid,50-81-7,54670067.0,54670067,50-81-7,299-36-5,24808-52-4,53262-66-1,78849-24-8,111645-48-8,,,,,
DB00128,Aspartic acid,56-84-8,5960.0,5960,56-84-8,25608-40-6,27881-03-4,39162-75-9,617-45-8,6899-03-2,,,,,
DB00129,Ornithine,70-26-8,6262.0,6262,70-26-8,25104-12-5,3184-13-2,,,,,,,,
DB00130,L-Glutamine,56-85-9,5961.0,5961,56-85-9,26700-71-0,184161-19-1,6899-04-3,,,,,,,
DB00131,Adenosine phosphate,61-19-8,6083.0,6083,61-19-8,13270-66-1,24937-83-5,34051-12-2,55036-25-4,,,,,,
DB00132,alpha-Linolenic acid,463-40-1,5280934.0,5280934,463-40-1,1955-33-5,68424-45-3,,,,,,,,
DB00134,Methionine,63-68-3,6137.0,6137,63-68-3,26062-47-5,58576-49-1,,,,,,,,
DB00135,Tyrosine,60-18-4,6057.0,6057,60-18-4,25619-78-7,,,,,,,,,
DB00136,Calcitriol,32222-06-3,5280453.0,5280453,32222-06-3,32511-63-0,66772-14-3,,,,,,,,
DB00137,Lutein,127-40-2,5281243.0,5281243,127-40-2,,,,,,,,,,
DB00138,Cystine,56-89-3,67678.0,67678,56-89-3,,,,,,,,,,
DB00139,Succinic acid,110-15-6,1110.0,1110,110-15-6,,,,,,,,,,
DB00140,Riboflavin,83-88-5,493570.0,493570,83-88-5,,,,,,,,,,
DB00141,N-Acetylglucosamine,7512-17-6,1738118.0,1738118,7512-17-6,134451-94-8,,,,,,,,,
DB00142,Glutamic acid,56-86-0,33032.0,33032,56-86-0,6106-04-3,25513-46-6,,,,,,,,
DB00143,Glutathione,70-18-8,124886.0,124886,70-18-8,,,,,,,,,,
DB00145,Glycine,56-40-6,750.0,750,56-40-6,25718-94-9,18875-39-3,,,,,,,,
DB00146,Calcifediol,19356-17-3,5283731.0,5283731,19356-17-3,36149-00-5,63283-36-3,64719-49-9,78782-98-6,,,,,,
DB00148,Creatine,57-00-1,586.0,586,57-00-1,,,,,,,,,,
DB00150,Tryptophan,73-22-3,6305.0,6305,73-22-3,,,,,,,,,,
DB00151,Cysteine,52-90-4,5862.0,5862,52-90-4,62488-11-3,,,,,,,,,
DB00152,Thiamine,70-16-6,1130.0,1130,70-16-6,59-43-8,,,,,,,,,
DB00153,Ergocalciferol,50-14-6,5280793.0,5280793,50-14-6,,,,,,,,,,
DB00156,Threonine,72-19-5,6288.0,6288,72-19-5,80-68-2,7013-32-3,,,,,,,,
DB00157,NADH,58-68-4,439153.0,439153,58-68-4,,,,,,,,,,
DB00158,Folic acid,59-30-3,6037.0,135398658,59-30-3,8064-47-9,32108-06-8,,,,,,,,
DB00159,Icosapent,10417-94-4,446284.0,446284,10417-94-4,,,,,,,,,,
DB00161,Valine,72-18-4,6287.0,6287,72-18-4,,,,,,,,,,
DB00162,Vitamin A,68-26-8,445354.0,445354,11103-57-4,68-26-8,,,,,,,,,
